Date,函館,仙台,東京,箱根,湯河原,富山,金沢,熱海,伊勢,京都,出雲,広島,長崎,石垣島
2014/6/1,57,62,69,25,46,48,48,39,58,63,60,49,58,76
2014/6/8,59,66,68,26,46,48,42,41,59,62,56,49,56,81
2014/6/15,60,62,68,25,51,52,47,47,54,61,58,50,56,82
2014/6/22,61,64,69,26,54,50,46,48,56,66,54,48,56,84
2014/6/29,65,69,76,25,50,53,49,53,59,74,61,52,67,97
2014/7/6,63,71,77,26,54,62,51,56,60,71,60,55,70,100
2014/7/13,71,74,83,28,70,63,56,66,69,71,62,59,72,88
2014/7/20,70,71,81,30,74,66,54,69,68,72,62,60,72,83
2014/7/27,69,74,84,30,69,67,56,71,71,71,64,60,76,83
2014/8/3,80,88,92,34,92,75,66,80,77,80,73,72,78,88
2014/8/10,100,80,94,40,92,86,70,83,94,93,81,69,83,90
2014/8/17,73,78,86,34,68,69,61,74,75,77,81,72,75,89
2014/8/24,67,72,80,33,61,67,58,76,70,71,64,60,70,86
2014/8/31,64,71,76,33,55,59,54,58,64,71,68,54,67,86
2014/9/7,65,75,77,33,54,61,54,55,67,72,67,55,67,77
2014/9/14,61,71,75,33,59,60,52,53,74,71,68,51,66,75
2014/9/21,56,61,72,31,61,56,48,44,62,70,62,49,65,70
2014/9/28,57,64,73,32,49,52,50,43,60,69,76,49,65,65
2014/10/5,58,65,74,32,63,58,59,46,65,71,100,50,68,64
2014/10/12,55,62,71,32,53,55,51,44,59,71,75,51,67,63
2014/10/19,52,58,70,32,50,50,46,43,55,73,63,48,63,52
2014/10/26,50,58,73,35,56,55,48,45,60,76,62,48,62,47
2014/11/2,55,59,71,35,60,49,49,45,60,81,57,47,62,47
2014/11/9,52,60,73,35,55,45,50,51,53,82,56,47,60,45
2014/11/16,47,59,72,34,51,51,52,56,57,89,59,47,60,40
2014/11/23,49,58,72,31,57,49,48,50,57,88,56,47,63,41
2014/11/30,51,58,66,25,58,53,49,46,51,68,62,45,56,39
2014/12/7,50,60,68,24,59,49,49,47,53,64,60,43,57,40
2014/12/14,54,64,69,23,53,61,49,45,55,59,44,52,59,40
2014/12/21,58,70,80,28,63,60,53,50,63,66,50,50,63,45
2014/12/28,55,79,72,48,70,60,58,58,93,75,81,56,68,49
2015/1/4,53,61,71,29,57,54,52,54,70,66,69,47,61,53
2015/1/11,48,58,75,29,56,49,58,58,60,63,60,47,61,58
2015/1/18,47,57,70,26,63,45,58,54,56,61,51,46,59,62
2015/1/25,47,62,72,29,59,50,57,55,54,61,51,48,59,61
2015/2/1,48,60,74,31,64,49,60,59,54,62,48,48,61,61
2015/2/8,51,63,74,30,64,61,67,65,58,67,50,49,67,60
2015/2/15,55,63,74,31,67,55,69,70,55,67,62,50,73,62
2015/2/22,52,63,73,28,69,55,68,62,54,67,60,50,73,67
2015/3/1,55,66,75,29,61,61,72,61,59,71,55,52,70,68
2015/3/8,60,74,80,31,65,80,100,61,61,73,55,53,66,69
2015/3/15,55,70,80,30,50,74,95,63,63,75,55,55,66,69
2015/3/22,59,69,81,30,58,70,79,61,66,79,59,59,68,68
2015/3/29,56,66,77,27,52,62,75,56,55,81,53,57,67,64
2015/4/5,62,63,72,26,50,65,75,51,53,75,52,55,71,71
2015/4/12,61,67,71,26,52,66,74,52,55,69,54,100,68,72
2015/4/19,68,73,74,25,93,68,77,56,56,70,54,63,67,87
2015/4/26,76,90,82,30,69,78,91,59,73,81,66,64,75,77
2015/5/3,69,80,78,100,72,70,87,63,71,79,66,62,79,81
2015/5/10,57,68,72,47,47,62,72,49,50,69,53,52,68,76
2015/5/17,60,66,74,31,46,58,69,47,49,70,50,52,73,83
2015/5/24,58,66,74,24,49,58,67,46,52,68,48,50,63,79
2015/5/31,67,69,76,21,49,63,79,51,67,69,59,52,68,80
2015/6/7,68,69,75,20,48,60,73,53,78,68,59,53,67,82
2015/6/14,72,72,76,21,44,64,71,60,64,70,55,52,66,94
2015/6/21,73,75,79,19,48,63,73,55,65,74,54,55,69,93
2015/6/28,79,81,82,63,58,63,76,63,70,79,56,56,71,96
2015/7/5,76,82,84,27,60,70,80,67,71,79,57,57,79,97
2015/7/12,79,99,90,25,73,76,81,78,80,89,59,68,82,91
2015/7/19,79,91,87,23,68,77,78,76,76,78,53,64,80,86
2015/7/26,81,89,89,24,67,77,80,79,73,78,62,63,84,84
2015/8/2,86,100,99,26,84,87,89,89,82,81,68,70,89,95
2015/8/9,92,100,100,30,100,100,100,100,100,92,76,75,100,89
2015/8/16,82,93,92,26,81,85,93,86,86,85,82,70,89,91
2015/8/23,75,85,89,24,72,77,88,77,86,78,78,66,99,96
2015/8/30,77,85,90,24,68,75,91,66,84,80,67,61,80,90
2015/9/6,78,99,89,25,61,75,89,63,80,82,68,61,76,86
2015/9/13,79,90,91,27,64,88,93,66,80,84,69,64,83,91
2015/9/20,79,80,88,26,71,80,94,68,86,88,81,61,83,80
2015/9/27,65,68,80,21,52,66,78,54,78,75,73,51,75,74
2015/10/4,72,71,82,25,60,69,82,63,69,81,76,57,78,71
2015/10/11,66,70,81,28,57,67,80,54,65,83,74,54,72,66
2015/10/18,62,67,80,26,57,64,74,54,57,81,66,52,70,58
2015/10/25,69,66,81,27,49,66,75,50,58,83,65,52,68,60
2015/11/1,61,65,80,32,63,65,76,51,65,90,71,53,70,56
2015/11/8,61,68,79,28,59,64,92,55,61,93,64,52,71,54
2015/11/15,59,68,81,30,67,61,94,55,73,100,67,53,73,52
2015/11/22,56,64,77,27,55,55,73,52,62,92,77,50,64,51
2015/11/29,57,63,76,23,52,54,66,51,62,75,59,49,64,47
2015/12/4,57,63,76,23,52,54,66,51,62,75,59,49,64,47
